Donor_ID,Donation_Count,Total_Quantity_KG,Average_Quantity_KG,Donor_Name,Donor_Type,City
DNR506613,9,164.59,18.29,Donor 6614,Household,Remote
DNR510563,8,259.13,32.39,Donor 10564,Restaurant,Ahmedabad
DNR503578,7,178.72,25.53,Donor 3579,Event,Chennai
DNR509159,7,174.31,24.9,Donor 9160,Restaurant,Delhi NCR
DNR510198,7,165.56,23.65,Donor 10199,Restaurant,Kolkata
DNR508294,7,184.36,26.34,Donor 8295,Restaurant,Bengaluru
DNR509826,7,171.33,24.48,Donor 9827,Restaurant,Chennai
DNR504426,7,116.64,16.66,Donor 4427,Household,Kolkata
DNR507794,7,262.61,37.52,Donor 7795,Event,Pune
DNR502759,7,160.54,22.93,Donor 2760,Household,Chennai
DNR501987,7,156.72,22.39,Donor 1988,Event,Delhi NCR
DNR501928,7,162.65,23.24,Donor 1929,Household,Mumbai
DNR500209,7,159.87,22.84,Donor 210,Restaurant,Jaipur
DNR500992,7,160.87,22.98,Donor 993,Household,Remote
DNR505163,7,287.97,41.14,Donor 5164,Household,Chennai
DNR510093,7,143.12,20.45,Donor 10094,Restaurant,Kolkata
DNR504853,7,182.03,26.0,Donor 4854,Hotel,Bengaluru
DNR503119,7,186.4,26.63,Donor 3120,Restaurant,Remote
DNR506064,7,236.37,33.77,Donor 6065,Restaurant,Chennai
DNR500128,7,211.68,30.24,Donor 129,Cafeteria,Jaipur
DNR505956,7,178.96,25.57,Donor 5957,Restaurant,Hyderabad
DNR502744,7,234.34,33.48,Donor 2745,Restaurant,Delhi NCR
DNR504329,7,138.77,19.82,Donor 4330,Household,Remote
DNR508282,7,214.13,30.59,Donor 8283,Restaurant,Jaipur
DNR508408,7,156.16,22.31,Donor 8409,Event,Chennai
DNR507567,7,222.92,31.85,Donor 7568,Event,Mumbai
DNR511272,7,241.28,34.47,Donor 11273,Hotel,Mumbai
DNR506264,7,141.74,20.25,Donor 6265,Household,Hyderabad
DNR509143,6,172.59,28.76,Donor 9144,Hotel,Ahmedabad
DNR504419,6,161.98,27.0,Donor 4420,Household,Chennai
DNR510181,6,110.98,18.5,Donor 10182,Cafeteria,Chennai
DNR501578,6,144.9,24.15,Donor 1579,Cafeteria,Remote
DNR505492,6,128.67,21.45,Donor 5493,Household,Hyderabad
DNR503390,6,106.08,17.68,Donor 3391,Household,Ahmedabad
DNR502538,6,134.78,22.46,Donor 2539,Cafeteria,Delhi NCR
DNR501401,6,193.32,32.22,Donor 1402,Restaurant,Bengaluru
DNR505965,6,162.38,27.06,Donor 5966,Bakery,Pune
DNR506763,6,142.64,23.77,Donor 6764,Event,Bengaluru
DNR500527,6,206.94,34.49,Donor 528,Hotel,Pune
DNR506594,6,237.08,39.51,Donor 6595,Restaurant,Kolkata
DNR506641,6,134.85,22.48,Donor 6642,Cafeteria,Mumbai
DNR501113,6,148.7,24.78,Donor 1114,Event,Delhi NCR
DNR510463,6,188.64,31.44,Donor 10464,Cafeteria,Delhi NCR
DNR510072,6,103.71,17.28,Donor 10073,Cafeteria,Pune
DNR501610,6,207.05,34.51,Donor 1611,Grocery Store,Ahmedabad
DNR504600,6,169.03,28.17,Donor 4601,Restaurant,Mumbai
DNR505996,6,133.54,22.26,Donor 5997,Bakery,Kolkata
DNR504070,6,133.1,22.18,Donor 4071,Household,Chennai
DNR506551,6,150.95,25.16,Donor 6552,Household,Bengaluru
DNR506513,6,186.36,31.06,Donor 6514,Event,Hyderabad
DNR500732,6,121.28,20.21,Donor 733,Bakery,Pune
DNR500709,6,187.01,31.17,Donor 710,Hotel,Jaipur
DNR500670,6,137.56,22.93,Donor 671,Hotel,Mumbai
DNR511185,6,186.36,31.06,Donor 11186,Cafeteria,Delhi NCR
DNR504105,6,171.43,28.57,Donor 4106,Restaurant,Remote
DNR505363,6,134.58,22.43,Donor 5364,Bakery,Kolkata
DNR503721,6,186.47,31.08,Donor 3722,Bakery,Remote
