Donation_ID,Donor_ID,Food_Category,Quantity_KG,Donation_Date,Pickup_Location,Pickup_Time,Expiry_Hours,Status,Estimated_Meals,Status_Clean,NGO_ID,Delivery_Status,Claim_Date,Claim_Count,Total_Claimed_KG,Delivered_Claim_Count,Delivered_Quantity_KG,Average_Pickup_Delay_Min,Donor_Name,Donor_Type,City,NGO_Name,City_NGO,Service_Area,Beneficiaries_Served_Monthly,Volunteer_Count,Active,Month,Year
DON606331,DNR507299,Cooked Meals,20.47,2026-01-01,Chennai,Afternoon,11.7,Delivered,45,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 7300,Restaurant,Hyderabad,,,,,,,2026-01,2026
DON606572,DNR504284,Bakery,10.41,2026-01-01,Pune,Night,31.2,Delivered,23,delivered,NGO706397,Assigned,2026-07-18,1.0,12.82,0.0,0.0,29.0,Donor 4285,Grocery Store,Ahmedabad,Community NGO 6398,Remote,North,230.0,27.0,Yes,2026-01,2026
DON608438,DNR501850,Rice & Grains,8.41,2026-01-01,Kolkata,Afternoon,16.1,Picked Up,19,picked up,NGO700526,Delivered,2026-02-26,1.0,19.72,1.0,19.72,18.0,Donor 1851,Household,Bengaluru,Community NGO 527,Kolkata,South,2467.0,15.0,Yes,2026-01,2026
DON608478,DNR506817,Packaged Food,39.41,2026-01-01,Hyderabad,Night,24.7,Delivered,87,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 6818,Event,Delhi NCR,,,,,,,2026-01,2026
DON606495,DNR505901,Fruits & Vegetables,28.41,2026-01-01,Delhi NCR,Morning,7.1,Available,63,available,NGO705783,Delivered,2026-04-30,1.0,41.96,1.0,41.96,65.0,Donor 5902,Restaurant,Chennai,Community NGO 5784,Mumbai,Citywide,2187.0,5.0,Yes,2026-01,2026
DON608532,DNR511336,Packaged Food,36.74,2026-01-01,Remote,Evening,24.6,Wasted,81,wasted,,No Claim,,0.0,0.0,0.0,0.0,,Donor 11337,Restaurant,Jaipur,,,,,,,2026-01,2026
DON602968,DNR507427,Dairy,49.58,2026-01-01,Kolkata,Afternoon,10.5,Claimed,109,claimed,NGO709700,Cancelled,2026-06-30,1.0,50.21,0.0,0.0,5.0,Donor 7428,Grocery Store,Hyderabad,Community NGO 9701,Delhi NCR,Central,2513.0,7.0,Yes,2026-01,2026
DON606457,DNR501591,Rice & Grains,35.31,2026-01-01,Chennai,Night,10.5,Expired,78,expired,NGO701041,Picked Up,2026-07-05,2.0,80.98,0.0,0.0,46.5,Donor 1592,Cafeteria,Chennai,Community NGO 1042,Pune,Citywide,1846.0,53.0,Yes,2026-01,2026
DON611155,DNR510542,Packaged Food,8.86,2026-01-01,Kolkata,Morning,9.6,Delivered,19,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 10543,Bakery,Hyderabad,,,,,,,2026-01,2026
DON608675,DNR507292,Cooked Meals,19.51,2026-01-01,Chennai,Morning,34.6,Delivered,43,delivered,NGO701006,Picked Up,2026-06-02,1.0,18.1,0.0,0.0,8.0,Donor 7293,Restaurant,Bengaluru,Community NGO 1007,Chennai,Citywide,2228.0,12.0,Yes,2026-01,2026
DON616600,DNR509142,Bakery,10.6,2026-01-01,Hyderabad,Evening,15.9,Expired,23,expired,NGO700017,Delivered,2026-05-21,1.0,12.74,1.0,12.74,44.0,Donor 9143,Restaurant,Remote,Community NGO 18,Delhi NCR,Central,827.0,33.0,Yes,2026-01,2026
DON602876,DNR507775,Snacks,8.19,2026-01-01,Chennai,Night,17.0,Claimed,18,claimed,,No Claim,,0.0,0.0,0.0,0.0,,Donor 7776,Cafeteria,Jaipur,,,,,,,2026-01,2026
DON608783,DNR511329,Dairy,12.58,2026-01-01,Pune,Evening,7.1,Picked Up,28,picked up,NGO709693,Cancelled,2026-07-03,1.0,16.7,0.0,0.0,35.0,Donor 11330,Hotel,Chennai,Community NGO 9694,Remote,Central,2782.0,55.0,Yes,2026-01,2026
DON608843,DNR501241,Dairy,2.63,2026-01-01,Kolkata,Evening,31.5,Claimed,6,claimed,NGO709010,Delivered,2026-07-29,3.0,71.57,3.0,71.57000000000001,38.333333333333336,Donor 1242,Restaurant,Delhi NCR,Community NGO 9011,Chennai,South,2926.0,40.0,Yes,2026-01,2026
DON616517,DNR508299,Snacks,45.37,2026-01-01,Jaipur,Morning,30.6,Delivered,100,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 8300,Hotel,Bengaluru,,,,,,,2026-01,2026
DON617368,DNR509934,Cooked Meals,55.09,2026-01-01,Kolkata,Morning,25.5,Available,121,available,NGO708383,Requested,2026-07-19,1.0,12.15,0.0,0.0,11.0,Donor 9935,Household,Jaipur,Community NGO 8384,Bengaluru,West,161.0,12.0,Yes,2026-01,2026
DON618884,DNR502936,Beverages,5.31,2026-01-01,Pune,Evening,14.4,Delivered,12,delivered,NGO703680,Assigned,2026-01-06,1.0,33.6,0.0,0.0,40.0,Donor 2937,Grocery Store,Ahmedabad,Community NGO 3681,Kolkata,North,2392.0,3.0,Yes,2026-01,2026
DON615675,DNR509493,Fruits & Vegetables,16.87,2026-01-01,Delhi NCR,Evening,7.3,Delivered,37,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 9494,Household,Mumbai,,,,,,,2026-01,2026
DON619454,DNR506936,Packaged Food,20.8,2026-01-01,Chennai,Afternoon,20.7,Available,46,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 6937,Restaurant,Hyderabad,,,,,,,2026-01,2026
DON604168,DNR501928,Other,23.39,2026-01-01,Bengaluru,Morning,8.1,Delivered,51,delivered,NGO706372,Delivered,2026-08-01,1.0,10.36,1.0,10.36,5.0,Donor 1929,Household,Mumbai,Community NGO 6373,Jaipur,East,873.0,77.0,Yes,2026-01,2026
DON612366,DNR505406,Cooked Meals,40.28,2026-01-01,Delhi NCR,Morning,35.6,Delivered,89,delivered,NGO708397,Picked Up,2026-07-26,1.0,6.86,0.0,0.0,57.0,Donor 5407,Event,Jaipur,Community NGO 8398,Kolkata,Central,665.0,26.0,Yes,2026-01,2026
DON609017,DNR500280,Bakery,27.89,2026-01-01,Mumbai,Morning,21.7,Delivered,61,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 281,Restaurant,Ahmedabad,,,,,,,2026-01,2026
