NGO_ID,User_ID,Organization_Name,Phone,Address,Capacity,Food_Types,Latitude,Longitude
NGO700000,USER_NGO700000,Community NGO 1,Not Provided,Chennai - North,8240,Mixed,13.0827,80.2707
NGO700009,USER_NGO700009,Community NGO 10,Not Provided,Pune - North,8610,Mixed,18.5204,73.8567
NGO700999,USER_NGO700999,Community NGO 1000,Not Provided,Jaipur - South,9785,Mixed,26.9124,75.7873
NGO701000,USER_NGO701000,Community NGO 1001,Not Provided,Ahmedabad - South,4300,Mixed,23.0225,72.5714
NGO701001,USER_NGO701001,Community NGO 1002,Not Provided,Remote - South,11245,Mixed,20.5937,78.9629
NGO701002,USER_NGO701002,Community NGO 1003,Not Provided,Delhi NCR - Citywide,9045,Mixed,28.6139,77.209
NGO701005,USER_NGO701005,Community NGO 1006,Not Provided,Ahmedabad - West,11170,Mixed,23.0225,72.5714
NGO701006,USER_NGO701006,Community NGO 1007,Not Provided,Chennai - Citywide,11140,Mixed,13.0827,80.2707
NGO701008,USER_NGO701008,Community NGO 1009,Not Provided,Pune - Citywide,14470,Mixed,18.5204,73.8567
NGO701010,USER_NGO701010,Community NGO 1011,Not Provided,Jaipur - Central,4860,Mixed,26.9124,75.7873
NGO701011,USER_NGO701011,Community NGO 1012,Not Provided,Mumbai - West,4305,Mixed,19.076,72.8777
NGO701012,USER_NGO701012,Community NGO 1013,Not Provided,Bengaluru - South,7800,Mixed,12.9716,77.5946
NGO701013,USER_NGO701013,Community NGO 1014,Not Provided,Bengaluru - West,10780,Mixed,12.9716,77.5946
NGO701014,USER_NGO701014,Community NGO 1015,Not Provided,Pune - East,2040,Mixed,18.5204,73.8567
NGO701015,USER_NGO701015,Community NGO 1016,Not Provided,Mumbai - North,1510,Mixed,19.076,72.8777
NGO701016,USER_NGO701016,Community NGO 1017,Not Provided,Jaipur - Citywide,3600,Mixed,26.9124,75.7873
NGO701017,USER_NGO701017,Community NGO 1018,Not Provided,Delhi NCR - West,970,Mixed,28.6139,77.209
NGO701018,USER_NGO701018,Community NGO 1019,Not Provided,Kolkata - North,10235,Mixed,22.5726,88.3639
NGO701019,USER_NGO701019,Community NGO 1020,Not Provided,Pune - Citywide,4020,Mixed,18.5204,73.8567
NGO701020,USER_NGO701020,Community NGO 1021,Not Provided,Pune - South,14270,Mixed,18.5204,73.8567
NGO701021,USER_NGO701021,Community NGO 1022,Not Provided,Kolkata - Citywide,985,Mixed,22.5726,88.3639
NGO701023,USER_NGO701023,Community NGO 1024,Not Provided,Ahmedabad - Central,2635,Mixed,23.0225,72.5714
NGO701024,USER_NGO701024,Community NGO 1025,Not Provided,Delhi NCR - Central,5645,Mixed,28.6139,77.209
NGO701026,USER_NGO701026,Community NGO 1027,Not Provided,Ahmedabad - North,3080,Mixed,23.0225,72.5714
NGO701027,USER_NGO701027,Community NGO 1028,Not Provided,Kolkata - East,12080,Mixed,22.5726,88.3639
NGO701028,USER_NGO701028,Community NGO 1029,Not Provided,Remote - East,705,Mixed,20.5937,78.9629
NGO700102,USER_NGO700102,Community NGO 103,Not Provided,Remote - North,14645,Mixed,20.5937,78.9629
NGO701029,USER_NGO701029,Community NGO 1030,Not Provided,Kolkata - Citywide,6325,Mixed,22.5726,88.3639
NGO701030,USER_NGO701030,Community NGO 1031,Not Provided,Jaipur - South,13220,Mixed,26.9124,75.7873
NGO701031,USER_NGO701031,Community NGO 1032,Not Provided,Kolkata - North,1455,Mixed,22.5726,88.3639
NGO701032,USER_NGO701032,Community NGO 1033,Not Provided,Delhi NCR - Central,4680,Mixed,28.6139,77.209
NGO701033,USER_NGO701033,Community NGO 1034,Not Provided,Pune - East,11765,Mixed,18.5204,73.8567
NGO701034,USER_NGO701034,Community NGO 1035,Not Provided,Chennai - North,12575,Mixed,13.0827,80.2707
NGO701035,USER_NGO701035,Community NGO 1036,Not Provided,Bengaluru - North,13390,Mixed,12.9716,77.5946
NGO701038,USER_NGO701038,Community NGO 1039,Not Provided,Bengaluru - South,3475,Mixed,12.9716,77.5946
NGO700103,USER_NGO700103,Community NGO 104,Not Provided,Ahmedabad - East,9280,Mixed,23.0225,72.5714
NGO701040,USER_NGO701040,Community NGO 1041,Not Provided,Kolkata - South,625,Mixed,22.5726,88.3639
NGO701041,USER_NGO701041,Community NGO 1042,Not Provided,Pune - Citywide,9230,Mixed,18.5204,73.8567
NGO701042,USER_NGO701042,Community NGO 1043,Not Provided,Kolkata - Citywide,4725,Mixed,22.5726,88.3639
NGO701043,USER_NGO701043,Community NGO 1044,Not Provided,Remote - East,9225,Mixed,20.5937,78.9629
NGO701045,USER_NGO701045,Community NGO 1046,Not Provided,Jaipur - Citywide,14475,Mixed,26.9124,75.7873
NGO701046,USER_NGO701046,Community NGO 1047,Not Provided,Hyderabad - Citywide,8475,Mixed,17.385,78.4867
NGO701047,USER_NGO701047,Community NGO 1048,Not Provided,Delhi NCR - East,14535,Mixed,28.6139,77.209
NGO701048,USER_NGO701048,Community NGO 1049,Not Provided,Hyderabad - Citywide,115,Mixed,17.385,78.4867
NGO700104,USER_NGO700104,Community NGO 105,Not Provided,Remote - East,10530,Mixed,20.5937,78.9629
NGO701049,USER_NGO701049,Community NGO 1050,Not Provided,Delhi NCR - West,490,Mixed,28.6139,77.209
NGO701050,USER_NGO701050,Community NGO 1051,Not Provided,Bengaluru - East,5830,Mixed,12.9716,77.5946
NGO701052,USER_NGO701052,Community NGO 1053,Not Provided,Delhi NCR - West,5775,Mixed,28.6139,77.209
NGO701053,USER_NGO701053,Community NGO 1054,Not Provided,Chennai - North,3025,Mixed,13.0827,80.2707
NGO701055,USER_NGO701055,Community NGO 1056,Not Provided,Delhi NCR - East,140,Mixed,28.6139,77.209
NGO701056,USER_NGO701056,Community NGO 1057,Not Provided,Delhi NCR - North,9260,Mixed,28.6139,77.209
NGO701057,USER_NGO701057,Community NGO 1058,Not Provided,Pune - South,12730,Mixed,18.5204,73.8567
NGO701058,USER_NGO701058,Community NGO 1059,Not Provided,Chennai - South,4540,Mixed,13.0827,80.2707
NGO700105,USER_NGO700105,Community NGO 106,Not Provided,Delhi NCR - West,10320,Mixed,28.6139,77.209
NGO701061,USER_NGO701061,Community NGO 1062,Not Provided,Ahmedabad - West,9505,Mixed,23.0225,72.5714
NGO701062,USER_NGO701062,Community NGO 1063,Not Provided,Jaipur - South,13665,Mixed,26.9124,75.7873
NGO701063,USER_NGO701063,Community NGO 1064,Not Provided,Chennai - South,4755,Mixed,13.0827,80.2707
NGO701064,USER_NGO701064,Community NGO 1065,Not Provided,Bengaluru - North,6475,Mixed,12.9716,77.5946
NGO701065,USER_NGO701065,Community NGO 1066,Not Provided,Ahmedabad - East,8955,Mixed,23.0225,72.5714
NGO701067,USER_NGO701067,Community NGO 1068,Not Provided,Chennai - Citywide,1250,Mixed,13.0827,80.2707
NGO701068,USER_NGO701068,Community NGO 1069,Not Provided,Delhi NCR - West,12210,Mixed,28.6139,77.209
NGO700106,USER_NGO700106,Community NGO 107,Not Provided,Mumbai - South,5170,Mixed,19.076,72.8777
NGO701070,USER_NGO701070,Community NGO 1071,Not Provided,Jaipur - South,5605,Mixed,26.9124,75.7873
NGO701071,USER_NGO701071,Community NGO 1072,Not Provided,Kolkata - South,1995,Mixed,22.5726,88.3639
NGO701072,USER_NGO701072,Community NGO 1073,Not Provided,Delhi NCR - Central,8550,Mixed,28.6139,77.209
NGO701073,USER_NGO701073,Community NGO 1074,Not Provided,Hyderabad - Citywide,8970,Mixed,17.385,78.4867
NGO701075,USER_NGO701075,Community NGO 1076,Not Provided,Kolkata - North,12965,Mixed,22.5726,88.3639
NGO701076,USER_NGO701076,Community NGO 1077,Not Provided,Kolkata - Central,7260,Mixed,22.5726,88.3639
NGO701077,USER_NGO701077,Community NGO 1078,Not Provided,Mumbai - West,2930,Mixed,19.076,72.8777
NGO701078,USER_NGO701078,Community NGO 1079,Not Provided,Remote - Central,12935,Mixed,20.5937,78.9629
NGO700107,USER_NGO700107,Community NGO 108,Not Provided,Bengaluru - Central,4930,Mixed,12.9716,77.5946
NGO701080,USER_NGO701080,Community NGO 1081,Not Provided,Bengaluru - West,1215,Mixed,12.9716,77.5946
NGO701083,USER_NGO701083,Community NGO 1084,Not Provided,Hyderabad - South,13775,Mixed,17.385,78.4867
NGO701086,USER_NGO701086,Community NGO 1087,Not Provided,Chennai - North,400,Mixed,13.0827,80.2707
NGO701087,USER_NGO701087,Community NGO 1088,Not Provided,Chennai - Citywide,5910,Mixed,13.0827,80.2707
NGO701089,USER_NGO701089,Community NGO 1090,Not Provided,Mumbai - Central,13620,Mixed,19.076,72.8777
